word,frequency_top,frequency_bottom,ratio
create,1350,335,4.03
challenge,714,412,1.73
change,1890,1157,1.63
discover,427,238,1.79
find,1018,546,1.86
introduce,718,459,1.56
follow,2978,10247,3.44
modify,3788,7014,1.85
promote,3491,7574,2.17
improve,10910,12316,1.13
compare,1815,4253,2.34
confirm,123,296,2.41
exploration,2545,1405,1.81
innovation,4489,1639,2.74
paradigm,951,354,2.69
tool,5808,3107,1.87
device,5438,3940,1.38
technique,8036,5995,1.34
relationship,6053,10090,1.67
review,29922,38225,1.28
examination,1345,1632,1.21
survey,5156,5940,1.15
validation,3364,5567,1.66
synthesis,9959,18253,1.83
new,18813,15998,1.18
extraordinary,140,72,1.94
unconventional,293,140,2.09
unprecedented,149,104,1.43
unexpected,383,340,1.13
disruptive,197,72,2.74
usual,64,165,2.58
related,2083,4825,2.32
conventional,1027,1884,1.83
typical,595,721,1.21
normal,1140,1715,1.5
old,3640,8490,2.33
